Date,Open,High,Low,Close,Volume,Adj Close,HM4UP,LM4DN,CSUSHPINSArate,NEWORDERrate,PPIACOrate,predict
2013-04-01,3268.6298828125,3328.7900390625,3154.9599609375,3328.7900390625,36904330000.0,3328.7900390625,0,0,0.0030582952784090627,0.04119676064787048,0.00496277915632759,0
2013-05-01,3325.35009765625,3532.0400390625,3296.5,3455.909912109375,39144080000.0,3455.909912109375,1,0,0.0058692684549339616,-0.051262477134256135,0.008888888888888946,1
2013-06-01,3460.760009765625,3488.31005859375,3294.949951171875,3403.25,37528250000.0,3403.25,0,1,0.01930310420369552,-0.0027479200825893946,-0.001468428781204123,0
2013-07-01,3430.47998046875,3649.35009765625,3415.22998046875,3626.3701171875,35889520000.0,3626.3701171875,1,0,0.02037037037037015,0.024997335850320383,-0.002450980392156854,1
2013-08-01,3654.179931640625,3694.18994140625,3573.570068359375,3589.8701171875,32934650000.0,3589.8701171875,0,0,0.019175487169976302,0.02208557976503434,0.0029484029484028174,1
2013-09-01,3622.639892578125,3798.760009765625,3593.6201171875,3771.47998046875,34997740000.0,3771.47998046875,1,0,0.016696020640934783,0.0008428272494769296,0.0009799118079374391,0
2013-10-01,3774.179931640625,3966.7099609375,3650.030029296875,3919.7099609375,43017190000.0,3919.7099609375,1,0,0.011889694319794586,-0.041452507477422566,0.0004894762604013003,1
2013-11-01,3932.449951171875,4069.699951171875,3855.070068359375,4059.889892578125,35818470000.0,4059.889892578125,0,0,0.006993139521661584,-0.0046198821551372005,-0.0009784735812133905,1
2013-12-01,4065.659912109375,4177.72998046875,3979.590087890625,4176.58984375,37139280000.0,4176.58984375,0,0,0.0017251654590508814,0.008613080926438865,-0.0014691478942212564,0
2014-01-01,4160.02978515625,4246.5498046875,4044.760009765625,4103.8798828125,45227610000.0,4103.8798828125,0,0,-0.0007640280561123093,-0.02213337356668676,-0.006866110838646411,0
2014-02-01,4105.06005859375,4342.58984375,3968.18994140625,4308.1201171875,39978180000.0,4308.1201171875,1,0,-0.0012346607503227471,0.05006711616496684,-0.006419753086419844,1
2014-03-01,4261.419921875,4371.7099609375,4131.81005859375,4198.990234375,46796180000.0,4198.990234375,0,0,-0.000495729820972346,-0.008551529577713102,0.003976143141153132,0
2014-04-01,4219.8701171875,4286.08984375,3946.030029296875,4114.56005859375,44391220000.0,4114.56005859375,0,1,0.0006152609836640455,0.004238544074930406,0.008910891089108919,1
2014-05-01,4121.25,4252.080078125,4021.050048828125,4242.6201171875,39290130000.0,4242.6201171875,0,0,0.00320617392395528,-0.010212213334907516,0.009322865554465043,1
2014-06-01,4247.9599609375,4417.4599609375,4207.60986328125,4408.18017578125,40249370000.0,4408.18017578125,0,0,0.008249369883233104,0.018965260175935583,0.006319883325230924,1
2014-07-01,4424.7099609375,4485.93017578125,4351.0400390625,4369.77001953125,39536410000.0,4369.77001953125,0,0,0.011035295577197513,-0.028942670685669136,0.006280193236715137,0
2014-08-01,4363.39013671875,4580.27001953125,4321.89013671875,4580.27001953125,33417300000.0,4580.27001953125,1,0,0.010509911711833242,-0.010412271713579613,-0.001440230436869916,0
2014-09-01,4592.419921875,4610.56982421875,4464.43994140625,4493.39013671875,39631130000.0,4493.39013671875,0,0,0.00924700367937237,0.05841061014419924,0.0014423076923077982,1
2014-10-01,4486.64990234375,4641.509765625,4116.60009765625,4630.740234375,50136190000.0,4630.740234375,0,1,0.0055166190404571935,-0.028989051777467686,-0.001440230436869916,0
